file,ground_truth,predicted,total_score,solidity,contour_area
concerning_01.jpg,concerning,healthy,1,0.9141,33388.5
concerning_02.jpg,concerning,healthy,1,0.914,34897.0
concerning_03.jpg,concerning,healthy,0,0.8942,33240.5
concerning_04.jpg,concerning,healthy,1,0.9104,34123.5
concerning_05.jpg,concerning,healthy,1,0.9175,34976.5
concerning_06.jpg,concerning,healthy,1,0.9082,34072.5
concerning_07.jpg,concerning,healthy,1,0.9108,34567.5
concerning_08.jpg,concerning,healthy,1,0.9022,33000.0
concerning_09.jpg,concerning,healthy,0,0.8918,32348.0
concerning_10.jpg,concerning,healthy,1,0.9104,33245.0
concerning_11.jpg,concerning,healthy,1,0.9004,31394.5
concerning_12.jpg,concerning,healthy,1,0.8899,32202.0
concerning_13.jpg,concerning,healthy,1,0.8843,32093.0
concerning_14.jpg,concerning,healthy,1,0.9163,32056.0
concerning_15.jpg,concerning,healthy,1,0.9197,33414.0
critical_01.jpg,critical,critical,4,0.8343,62928.5
critical_02.jpg,critical,critical,3,0.7713,61828.0
critical_03.jpg,critical,critical,3,0.8425,71623.5
critical_04.jpg,critical,critical,4,0.7873,56354.5
critical_05.jpg,critical,critical,3,0.7708,60838.0
critical_06.jpg,critical,critical,3,0.7992,58158.0
critical_07.jpg,critical,critical,4,0.8126,65835.0
critical_08.jpg,critical,critical,3,0.784,63513.5
critical_09.jpg,critical,critical,4,0.7105,51716.5
critical_10.jpg,critical,critical,3,0.7422,50665.0
critical_11.jpg,critical,critical,4,0.8693,69362.5
critical_12.jpg,critical,critical,3,0.8065,61022.5
critical_13.jpg,critical,critical,3,0.7552,55228.5
critical_14.jpg,critical,critical,4,0.7881,62264.0
critical_15.jpg,critical,critical,3,0.8015,64186.5
healthy_01.jpg,healthy,concerning,2,0.9708,25235.5
healthy_02.jpg,healthy,healthy,0,0.9705,25236.5
healthy_03.jpg,healthy,healthy,0,0.9704,25237.5
healthy_04.jpg,healthy,healthy,0,0.9708,25225.5
healthy_05.jpg,healthy,healthy,0,0.9702,25224.5
healthy_06.jpg,healthy,healthy,0,0.9678,25265.5
healthy_07.jpg,healthy,healthy,0,0.9702,25241.0
healthy_08.jpg,healthy,healthy,0,0.9708,25234.5
healthy_09.jpg,healthy,healthy,0,0.9706,25231.5
healthy_10.jpg,healthy,healthy,0,0.971,25231.5
healthy_11.jpg,healthy,healthy,0,0.971,25243.5
healthy_12.jpg,healthy,healthy,0,0.9711,25236.5
healthy_13.jpg,healthy,healthy,0,0.9706,25237.5
healthy_14.jpg,healthy,healthy,0,0.9706,25232.5
healthy_15.jpg,healthy,healthy,0,0.9708,25240.5
